order_id,customer_id,customer_name,customer_city,order_date,order_timestamp,product_id,product_name,brand,category,unit_price,quantity,subtotal,discount_pct,discount_amount,total_amount,payment_method,region,order_status,product_rating
7771becb-970e-4940-9da1-d103b211d6b0,CUST-0005,Emma Miller,Jacksonville,2026-03-25,2026-03-25T01:38:47.269604+00:00,37,Red Onions,Unknown,groceries,2.13,3,6.39,0,0.0,6.39,credit_card,ap-southeast-1,completed,4.2
0a94318f-8ce7-4cb9-9fe2-bfeac105383f,CUST-0027,Daniel Cook,Los Angeles,2026-03-25,2026-03-25T02:08:27.269604+00:00,50,Black Whisk,Unknown,kitchen-accessories,10.86,1,10.86,10,1.09,9.77,paypal,eu-west-1,completed,3.9
4bb0f757-117c-407c-844d-7e955347c1c7,CUST-0015,William Gonzalez,San Jose,2026-03-25,2026-03-25T02:20:20.269604+00:00,50,Black Whisk,Unknown,kitchen-accessories,10.41,1,10.41,0,0.0,10.41,paypal,ap-northeast-1,completed,3.9
1ecc143c-9b71-45f7-a525-de88c048bca1,CUST-0022,Elijah Stewart,Columbus,2026-03-25,2026-03-25T02:35:42.269604+00:00,47,Table Lamp,Unknown,home-decoration,48.09,1,48.09,0,0.0,48.09,debit_card,us-west-2,returned,3.55
aa484e28-5bee-458e-aa88-4de61a9cf39e,CUST-0007,Alexander Jones,Indianapolis,2026-03-25,2026-03-25T02:59:13.269604+00:00,6,Calvin Klein CK One,Calvin Klein,fragrances,46.74,3,140.22,0,0.0,140.22,credit_card,ap-northeast-1,completed,4.37
577821e9-a4bd-46a7-9f8a-6d01e0ccb0c7,CUST-0021,Madison Collins,Philadelphia,2026-03-25,2026-03-25T03:00:32.269604+00:00,46,Plant Pot,Unknown,home-decoration,15.87,1,15.87,0,0.0,15.87,credit_card,ap-southeast-1,completed,3.01
812ae969-d3e7-4a01-8945-fbf4f40168d0,CUST-0009,Ethan Martinez,San Antonio,2026-03-25,2026-03-25T03:45:09.269604+00:00,19,Chicken Meat,Unknown,groceries,11.47,1,11.47,20,2.29,9.18,buy_now_pay_later,us-east-1,completed,3.19
94407853-8070-456a-93b0-d6975d0be1f3,CUST-0023,Chloe Morales,Dallas,2026-03-25,2026-03-25T03:50:45.269604+00:00,30,Kiwi,Unknown,groceries,2.85,2,5.7,5,0.28,5.42,credit_card,us-west-2,completed,4.93
00dcb4bc-9f87-4912-9caf-9fabf3dd51dd,CUST-0018,Logan Torres,Columbus,2026-03-25,2026-03-25T03:57:29.269604+00:00,24,Fish Steak,Unknown,groceries,14.06,4,56.24,15,8.44,47.8,credit_card,eu-west-1,completed,3.78
c2429851-67eb-4cb1-ab78-2f31a21a7528,CUST-0016,Avery Perez,Columbus,2026-03-25,2026-03-25T04:13:53.269604+00:00,25,Green Bell Pepper,Unknown,groceries,1.17,3,3.51,25,0.88,2.63,debit_card,ap-southeast-1,completed,3.25
41bdd147-f9a6-4af9-89f6-ec361833bfee,CUST-0018,Logan Torres,Columbus,2026-03-25,2026-03-25T04:28:29.269604+00:00,34,Nescafe Coffee,Unknown,groceries,7.6,2,15.2,0,0.0,15.2,credit_card,us-east-1,completed,4.82
fb1c7130-3342-4641-b507-b5163b33bd6c,CUST-0015,William Gonzalez,San Jose,2026-03-25,2026-03-25T04:30:48.269604+00:00,4,Red Lipstick,Chic Cosmetics,beauty,14.73,3,44.19,20,8.84,35.35,debit_card,ap-northeast-1,completed,4.36
c9b7e219-7da1-4e0f-85b1-a22aa19d6166,CUST-0021,Madison Collins,Philadelphia,2026-03-25,2026-03-25T04:43:27.269604+00:00,28,Ice Cream,Unknown,groceries,5.35,3,16.05,0,0.0,16.05,gift_card,us-east-1,cancelled,3.39
94349291-8fd9-4c67-9c18-6007e5434d5a,CUST-0028,Lily Lee,Phoenix,2026-03-25,2026-03-25T04:57:59.269604+00:00,19,Chicken Meat,Unknown,groceries,10.58,1,10.58,5,0.53,10.05,buy_now_pay_later,eu-west-1,completed,3.19
68f5fa50-4ba9-41ce-89a7-c4b63525fa39,CUST-0027,Daniel Cook,Los Angeles,2026-03-25,2026-03-25T05:04:06.269604+00:00,31,Lemon,Unknown,groceries,0.71,3,2.13,0,0.0,2.13,credit_card,us-west-2,completed,3.53
03becfd4-c0a9-4c9b-97c6-db58580c20fd,CUST-0004,James Davis,Seattle,2026-03-25,2026-03-25T05:16:08.269604+00:00,44,Family Tree Photo Frame,Unknown,home-decoration,26.45,2,52.9,0,0.0,52.9,debit_card,ap-southeast-1,completed,4.53
c3767a5b-6cf1-48c1-a774-9638f23fb702,CUST-0027,Daniel Cook,Los Angeles,2026-03-25,2026-03-25T05:28:01.269604+00:00,33,Mulberry,Unknown,groceries,5.41,2,10.82,10,1.08,9.74,buy_now_pay_later,us-west-2,returned,4.95
fa3c4b13-2767-49e2-a4b0-1a40b023a933,CUST-0027,Daniel Cook,Los Angeles,2026-03-25,2026-03-25T06:14:23.269604+00:00,33,Mulberry,Unknown,groceries,5.48,2,10.96,25,2.74,8.22,paypal,eu-west-1,completed,4.95
c1ffcf03-c4d5-4029-95a6-7f5701a87edb,CUST-0016,Avery Perez,Columbus,2026-03-25,2026-03-25T06:34:10.269604+00:00,29,Juice,Unknown,groceries,3.5,1,3.5,0,0.0,3.5,credit_card,ap-southeast-1,completed,3.94
42f21e6e-293f-4e81-980d-6f3f90a75908,CUST-0023,Chloe Morales,Dallas,2026-03-25,2026-03-25T06:44:59.269604+00:00,36,Protein Powder,Unknown,groceries,19.89,2,39.78,0,0.0,39.78,gift_card,ap-northeast-1,cancelled,4.18
ca2e76af-6883-47d8-8657-8209c2f5e4d4,CUST-0006,Olivia Wilson,Fort Worth,2026-03-25,2026-03-25T06:50:47.269604+00:00,30,Kiwi,Unknown,groceries,2.12,2,4.24,0,0.0,4.24,buy_now_pay_later,eu-west-1,cancelled,4.93
a4e590ee-d0b7-42d0-a4a3-afbee9020483,CUST-0003,Sophia Brown,Washington,2026-03-25,2026-03-25T06:52:17.269604+00:00,14,Knoll Saarinen Executive Conference Chair,Knoll,furniture,444.52,1,444.52,25,111.13,333.39,gift_card,ap-southeast-1,completed,4.88
e79a2ae5-aca7-4494-88e1-bd46b48359c2,CUST-0016,Avery Perez,Columbus,2026-03-25,2026-03-25T07:02:22.269604+00:00,18,Cat Food,Unknown,groceries,9.67,3,29.01,0,0.0,29.01,buy_now_pay_later,us-east-1,completed,3.13
f33e89c9-3cdc-4fe7-a53c-509fd15a2cf2,CUST-0029,Henry Hill,Indianapolis,2026-03-25,2026-03-25T07:04:58.269604+00:00,35,Potatoes,Unknown,groceries,2.27,1,2.27,0,0.0,2.27,buy_now_pay_later,ap-southeast-1,completed,4.81
ec87a27d-1bb3-4ddb-8419-ea8f6e5ee7d6,CUST-0004,James Davis,Seattle,2026-03-25,2026-03-25T07:08:38.269604+00:00,50,Black Whisk,Unknown,kitchen-accessories,10.09,1,10.09,0,0.0,10.09,credit_card,us-east-1,cancelled,3.9
f23046ff-7934-42e5-af7e-caa22b857098,CUST-0018,Logan Torres,Columbus,2026-03-25,2026-03-25T07:39:10.269604+00:00,39,Soft Drinks,Unknown,groceries,2.01,1,2.01,10,0.2,1.81,credit_card,us-west-2,completed,4.75
edea49a7-bdb6-4ea9-b202-83d22b5312f8,CUST-0025,Harper Kelly,Philadelphia,2026-03-25,2026-03-25T08:00:57.269604+00:00,35,Potatoes,Unknown,groceries,2.22,1,2.22,0,0.0,2.22,paypal,ap-southeast-1,completed,4.81
51b23eff-d8e4-452e-86f6-c3da5d076f30,CUST-0006,Olivia Wilson,Fort Worth,2026-03-25,2026-03-25T08:07:21.269604+00:00,48,Bamboo Spatula,Unknown,kitchen-accessories,8.2,4,32.8,0,0.0,32.8,debit_card,us-west-2,completed,3.27
9f07b14b-a2de-4d57-8263-c5b484b00d39,CUST-0004,James Davis,Seattle,2026-03-25,2026-03-25T08:22:49.269604+00:00,40,Strawberry,Unknown,groceries,3.67,1,3.67,0,0.0,3.67,gift_card,us-east-1,completed,3.08
fc44a103-09d3-4d2e-acec-a9e43e1e6072,CUST-0004,James Davis,Seattle,2026-03-25,2026-03-25T08:53:23.269604+00:00,28,Ice Cream,Unknown,groceries,4.81,3,14.43,20,2.89,11.54,debit_card,us-west-2,completed,3.39
47ea1fa1-01d2-4f81-b1ee-e5be56928557,CUST-0017,Evelyn Sanchez,San Diego,2026-03-25,2026-03-25T09:07:22.269604+00:00,38,Rice,Unknown,groceries,5.85,1,5.85,0,0.0,5.85,buy_now_pay_later,us-west-2,completed,3.18
7ac6fef6-9462-4a40-8ea8-d6dc9732c180,CUST-0028,Lily Lee,Phoenix,2026-03-25,2026-03-25T09:09:19.269604+00:00,44,Family Tree Photo Frame,Unknown,home-decoration,26.48,1,26.48,0,0.0,26.48,buy_now_pay_later,ap-southeast-1,cancelled,4.53
459559f4-99ff-4d19-ab05-af3aa385967e,CUST-0002,Michael Williams,Houston,2026-03-25,2026-03-25T09:35:32.269604+00:00,25,Green Bell Pepper,Unknown,groceries,1.34,1,1.34,0,0.0,1.34,buy_now_pay_later,us-east-1,completed,3.25
2ca8a9e7-f600-4cd4-8ad9-9e7c4c386966,CUST-0012,Mia Rodriguez,Jacksonville,2026-03-25,2026-03-25T09:36:34.269604+00:00,12,Annibale Colombo Sofa,Annibale Colombo,furniture,2302.4,1,2302.4,25,575.6,1726.8,paypal,ap-northeast-1,cancelled,3.92
6127ff1a-3c8b-456c-8fe1-158658c3b755,CUST-0009,Ethan Martinez,San Antonio,2026-03-25,2026-03-25T09:49:37.269604+00:00,44,Family Tree Photo Frame,Unknown,home-decoration,31.27,1,31.27,20,6.25,25.02,debit_card,eu-west-1,cancelled,4.53
243e50c5-a7ba-43ff-91ca-9db8eaafc28c,CUST-0013,Noah Hernandez,New York,2026-03-25,2026-03-25T09:53:48.269604+00:00,26,Green Chili Pepper,Unknown,groceries,1.03,1,1.03,20,0.21,0.82,buy_now_pay_later,us-west-2,completed,3.66
a751c039-8c17-493d-b2c7-33fcc5cbfa39,CUST-0016,Avery Perez,Columbus,2026-03-25,2026-03-25T10:12:32.269604+00:00,45,House Showpiece Plant,Unknown,home-decoration,45.0,1,45.0,0,0.0,45.0,credit_card,ap-southeast-1,completed,4.67
894ff8f0-41bd-4c5e-81df-402a88600c6f,CUST-0025,Harper Kelly,Philadelphia,2026-03-25,2026-03-25T10:25:55.269604+00:00,23,Eggs,Unknown,groceries,2.74,1,2.74,20,0.55,2.19,debit_card,us-west-2,completed,2.53
11101341-75fb-4c32-9b4a-e04238534f9b,CUST-0021,Madison Collins,Philadelphia,2026-03-25,2026-03-25T10:28:01.269604+00:00,3,Powder Canister,Velvet Touch,beauty,16.01,4,64.04,20,12.81,51.23,credit_card,ap-southeast-1,returned,4.64
eb83d607-cc14-4604-9b99-cbceb89c8543,CUST-0028,Lily Lee,Phoenix,2026-03-25,2026-03-25T10:30:10.269604+00:00,7,Chanel Coco Noir Eau De,Chanel,fragrances,130.89,1,130.89,0,0.0,130.89,debit_card,us-east-1,completed,4.26
e9ba2958-a1c0-46bd-9f81-969689468e8e,CUST-0027,Daniel Cook,Los Angeles,2026-03-25,2026-03-25T10:44:37.269604+00:00,44,Family Tree Photo Frame,Unknown,home-decoration,28.41,3,85.23,0,0.0,85.23,paypal,ap-southeast-1,completed,4.53
23209089-0ac5-44b4-b5d8-0b0dabc7a99d,CUST-0028,Lily Lee,Phoenix,2026-03-25,2026-03-25T10:46:54.269604+00:00,28,Ice Cream,Unknown,groceries,4.84,3,14.52,0,0.0,14.52,gift_card,eu-west-1,completed,3.39
a2d5378c-1c05-4b47-9273-078902acdc39,CUST-0019,Abigail Rivera,Chicago,2026-03-25,2026-03-25T10:49:36.269604+00:00,5,Red Nail Polish,Nail Couture,beauty,8.28,2,16.56,0,0.0,16.56,buy_now_pay_later,us-west-2,completed,4.32
